
>>> MODE [A] START <<<
It | ResNorm  | Merit    | dt      | CosAlign| Step  | Status
--------------------------------------------------------------------------------
0  | 8.063e-01| 3.250e-01| 1.00e+09| -0.06   | STD   | ACC(LS=1)
1  | 3.958e-01| 7.831e-02| 1.00e+09| -0.12   | STD   | ACC(LS=1)
2  | 6.388e-02| 2.040e-03| 1.00e+09| -0.33   | STD   | ACC(LS=1)
3  | 2.825e-03| 3.990e-06| 1.00e+09| -0.63   | STD   | ACC(LS=1)
4  | 5.952e-06| 1.771e-11| 1.00e+09| -0.70   | STD   | ACC(LS=1)
5  | 2.590e-11| 3.355e-22| ---     | ---     | ---   | [CONVERGED]

>>> MODE [B] START <<<
It | ResNorm  | Merit    | dt      | CosAlign| Step  | Status
--------------------------------------------------------------------------------
0  | 8.063e-01| 3.250e-01| 5.00e-02| 0.90    | STD   | REJ->RETRY
1  | 8.063e-01| 3.250e-01| 2.50e-02| 0.87    | STD   | REJ->RETRY
2  | 8.063e-01| 3.250e-01| 1.25e-02| 0.86    | STD   | REJ->RETRY
3  | 8.063e-01| 3.250e-01| 6.25e-03| 0.86    | STD   | REJ->RETRY
4  | 8.063e-01| 3.250e-01| 3.13e-03| 0.85    | STD   | REJ->RETRY
5  | 8.063e-01| 3.250e-01| 1.56e-03| 0.85    | STD   | REJ->RETRY
6  | 8.063e-01| 3.250e-01| 7.81e-04| 0.85    | STD   | REJ->RETRY
7  | 8.063e-01| 3.250e-01| 3.91e-04| 0.85    | STD   | REJ->RETRY
8  | 8.063e-01| 3.250e-01| 1.95e-04| 0.85    | STD   | REJ->RETRY
9  | 8.063e-01| 3.250e-01| 9.77e-05| 0.85    | STD   | REJ->RETRY
10 | 8.063e-01| 3.250e-01| 4.88e-05| 0.85    | STD   | REJ->RETRY
11 | 8.063e-01| 3.250e-01| 2.44e-05| 0.85    | STD   | REJ->RETRY
12 | 8.063e-01| 3.250e-01| 1.22e-05| 0.85    | STD   | REJ->RETRY
13 | 8.063e-01| 3.250e-01| 1.00e-05| 0.85    | STD   | REJ->RETRY
>>> FAILED: DT Stagnation

>>> MODE [C] START <<<
It | ResNorm  | Merit    | dt      | CosAlign| Step  | Status
--------------------------------------------------------------------------------
0  | 8.063e-01| 3.250e-01| 1.10e-01| 0.90    | SNIPER| ACC[Rescue]
1  | 7.499e-01| 2.812e-01| 1.21e-01| 0.90    | SNIPER| ACC[Rescue]
2  | 6.965e-01| 2.425e-01| 1.33e-01| 0.90    | SNIPER| ACC[Rescue]
3  | 6.443e-01| 2.075e-01| 1.46e-01| 0.90    | SNIPER| ACC[Rescue]
4  | 5.925e-01| 1.756e-01| 1.61e-01| 0.89    | SNIPER| ACC[Rescue]
5  | 5.415e-01| 1.466e-01| 1.77e-01| 0.87    | SNIPER| ACC[Rescue]
6  | 4.922e-01| 1.211e-01| 1.95e-01| 0.84    | SNIPER| ACC[Rescue]
7  | 4.469e-01| 9.984e-02| 2.14e-01| 0.81    | SNIPER| ACC[Rescue]
8  | 4.090e-01| 8.363e-02| 2.36e-01| 0.76    | SNIPER| ACC[Rescue]
9  | 3.824e-01| 7.312e-02| 2.59e-01| 0.75    | SNIPER| ACC[Rescue]
10 | 3.662e-01| 6.704e-02| 2.85e-01| 0.78    | SNIPER| ACC[Rescue]
11 | 3.523e-01| 6.207e-02| 3.14e-01| 0.47    | SNIPER| ACC[Rescue]
12 | 3.427e-01| 5.871e-02| 1.57e-01| 0.14    | SNIPER| REJ[T1]->RETRY
13 | 3.427e-01| 5.871e-02| 1.73e-01| 0.61    | SNIPER| ACC[Rescue]
14 | 3.381e-01| 5.716e-02| 1.90e-01| 0.63    | SNIPER| ACC[Rescue]
15 | 3.363e-01| 5.654e-02| 2.09e-01| 0.67    | SNIPER| ACC[Rescue]
16 | 3.336e-01| 5.563e-02| 2.30e-01| 0.74    | SNIPER| ACC[Rescue]
17 | 3.321e-01| 5.514e-02| 2.53e-01| 0.85    | SNIPER| ACC[Rescue]
18 | 3.303e-01| 5.455e-02| 2.78e-01| 0.96    | SNIPER| ACC[Rescue]
