[KOUN-GR v1.3.22] The Balanced Path
Strategy: N=32, Gamma=1.0, PTC with In-Frame Retry.
Grid: 32^3 | Gamma: 1.0 | Stretch: ~2.7x
Iter  | Residual     | Rel Res      | dt         | Status         
----------------------------------------------------------------------
0     | 1.0191e-01   | 1.0000e+00   | 1.10e-01   | ACC (try 0)
1     | 1.0185e-01   | 9.9945e-01   | 1.21e-01   | ACC (try 0)
2     | 1.0179e-01   | 9.9886e-01   | 1.33e-01   | ACC (try 0)
3     | 1.0173e-01   | 9.9822e-01   | 1.46e-01   | ACC (try 0)
4     | 1.0166e-01   | 9.9752e-01   | 1.61e-01   | ACC (try 0)
5     | 1.0158e-01   | 9.9677e-01   | 1.77e-01   | ACC (try 0)
6     | 1.0150e-01   | 9.9596e-01   | 1.95e-01   | ACC (try 0)
7     | 1.0141e-01   | 9.9510e-01   | 2.14e-01   | ACC (try 0)
8     | 1.0131e-01   | 9.9417e-01   | 2.36e-01   | ACC (try 0)
9     | 1.0121e-01   | 9.9317e-01   | 2.59e-01   | ACC (try 0)
10    | 1.0111e-01   | 9.9211e-01   | 2.85e-01   | ACC (try 0)
11    | 1.0099e-01   | 9.9099e-01   | 3.14e-01   | ACC (try 0)
12    | 1.0087e-01   | 9.8981e-01   | 3.45e-01   | ACC (try 0)
13    | 1.0074e-01   | 9.8856e-01   | 3.80e-01   | ACC (try 0)
14    | 1.0061e-01   | 9.8726e-01   | 4.18e-01   | ACC (try 0)
15    | 1.0047e-01   | 9.8591e-01   | 4.59e-01   | ACC (try 0)
16    | 1.0033e-01   | 9.8453e-01   | 5.05e-01   | ACC (try 0)
17    | 1.0019e-01   | 9.8312e-01   | 5.56e-01   | ACC (try 0)
18    | 1.0004e-01   | 9.8170e-01   | 6.12e-01   | ACC (try 0)
19    | 9.9901e-02   | 9.8030e-01   | 6.73e-01   | ACC (try 0)
20    | 9.9763e-02   | 9.7894e-01   | 7.40e-01   | ACC (try 0)
21    | 9.9633e-02   | 9.7767e-01   | 8.14e-01   | ACC (try 0)
22    | 9.9516e-02   | 9.7652e-01   | 8.95e-01   | ACC (try 0)
23    | 9.9417e-02   | 9.7555e-01   | 9.85e-01   | ACC (try 0)
24    | 9.9343e-02   | 9.7482e-01   | 1.08e+00   | ACC (try 0)
25    | 9.9302e-02   | 9.7442e-01   | 5.96e-01   | ACC (try 1)
26    | 9.9296e-02   | 9.7436e-01   | 7.45e-02   | STALLED
27    | 9.9296e-02   | 9.7436e-01   | 8.19e-02   | ACC (try 0)
28    | 9.9296e-02   | 9.7436e-01   | 4.51e-02   | ACC (try 1)
29    | 9.9296e-02   | 9.7436e-01   | 2.48e-02   | ACC (try 1)
30    | 9.9296e-02   | 9.7436e-01   | 1.36e-02   | ACC (try 1)
31    | 9.9296e-02   | 9.7436e-01   | 1.50e-02   | ACC (try 0)
32    | 9.9296e-02   | 9.7436e-01   | 1.65e-02   | ACC (try 0)
33    | 9.9296e-02   | 9.7437e-01   | 1.81e-02   | ACC (try 0)
34    | 9.9297e-02   | 9.7437e-01   | 9.98e-03   | ACC (try 1)
35    | 9.9297e-02   | 9.7437e-01   | 1.10e-02   | ACC (try 0)
36    | 9.9297e-02   | 9.7437e-01   | 1.21e-02   | ACC (try 0)
37    | 9.9297e-02   | 9.7437e-01   | 1.33e-02   | ACC (try 0)
38    | 9.9297e-02   | 9.7437e-01   | 1.46e-02   | ACC (try 0)
39    | 9.9297e-02   | 9.7437e-01   | 8.04e-03   | ACC (try 1)
40    | 9.9297e-02   | 9.7437e-01   | 8.84e-03   | ACC (try 0)
41    | 9.9297e-02   | 9.7437e-01   | 9.72e-03   | ACC (try 0)
42    | 9.9297e-02   | 9.7437e-01   | 1.07e-02   | ACC (try 0)
43    | 9.9297e-02   | 9.7437e-01   | 1.18e-02   | ACC (try 0)
44    | 9.9297e-02   | 9.7437e-01   | 1.29e-02   | ACC (try 0)
45    | 9.9297e-02   | 9.7437e-01   | 7.12e-03   | ACC (try 1)
46    | 9.9297e-02   | 9.7437e-01   | 7.83e-03   | ACC (try 0)
47    | 9.9297e-02   | 9.7437e-01   | 8.61e-03   | ACC (try 0)
48    | 9.9297e-02   | 9.7437e-01   | 9.47e-03   | ACC (try 0)
49    | 9.9297e-02   | 9.7437e-01   | 1.04e-02   | ACC (try 0)

[SUCCESS] Total Time: 126.5053 s | Range: [1.0000, 1.0610]
