[KOUN-GR v1.4.2] The Protocol Freeze
Standard: Cosine Sentinel | Dual Tolerance | Linked Sniper Step
JIT Compiling...
Starting Solver...
Iter  | Residual     | Merit        | dt        | CosAlign  | Status                   
--------------------------------------------------------------------------------------------------------------
0     | 3.1019e+00   | 4.8110e+00   | 1.50e-01  | -8.77e-01 | ACC [NEWTON]
1     | 2.6156e+00   | 3.4208e+00   | 2.25e-01  | -8.73e-01 | ACC [NEWTON]
2     | 2.1415e+00   | 2.2930e+00   | 3.38e-01  | -8.68e-01 | ACC [NEWTON]
3     | 1.7039e+00   | 1.4517e+00   | 5.06e-01  | -8.63e-01 | ACC [NEWTON]
4     | 1.3194e+00   | 8.7047e-01   | 7.59e-01  | -8.55e-01 | ACC [NEWTON]
5     | 9.9583e-01   | 4.9584e-01   | 1.14e+00  | -8.44e-01 | ACC [NEWTON]
6     | 7.3364e-01   | 2.6911e-01   | 1.71e+00  | -8.27e-01 | ACC [NEWTON]
7     | 5.2855e-01   | 1.3968e-01   | 2.56e+00  | -8.00e-01 | ACC [NEWTON]
8     | 3.7349e-01   | 6.9746e-02   | 3.84e+00  | -7.63e-01 | ACC [NEWTON]
9     | 2.6019e-01   | 3.3849e-02   | 5.77e+00  | -7.15e-01 | ACC [NEWTON]
10    | 1.8012e-01   | 1.6221e-02   | 8.65e+00  | -6.63e-01 | ACC [NEWTON]
11    | 1.2507e-01   | 7.8213e-03   | 1.30e+01  | -6.16e-01 | ACC [NEWTON]
12    | 8.7753e-02   | 3.8503e-03   | 1.95e+01  | -5.84e-01 | ACC [NEWTON]
13    | 6.2347e-02   | 1.9436e-03   | 2.92e+01  | -5.66e-01 | ACC [NEWTON]
14    | 4.4741e-02   | 1.0009e-03   | 4.38e+01  | -5.57e-01 | ACC [NEWTON]
15    | 3.2279e-02   | 5.2097e-04   | 6.57e+01  | -5.53e-01 | ACC [NEWTON]
16    | 2.3262e-02   | 2.7056e-04   | 9.85e+01  | -5.60e-01 | ACC [NEWTON]
17    | 1.6506e-02   | 1.3622e-04   | 1.48e+02  | -5.83e-01 | ACC [NEWTON]
18    | 1.1176e-02   | 6.2448e-05   | 2.22e+02  | -5.95e-01 | ACC [NEWTON]
19    | 6.8825e-03   | 2.3685e-05   | 3.33e+02  | -5.78e-01 | ACC [NEWTON]
20    | 3.6543e-03   | 6.6769e-06   | 4.99e+02  | -5.58e-01 | ACC [NEWTON]
21    | 1.5903e-03   | 1.2645e-06   | 7.48e+02  | -5.48e-01 | ACC [NEWTON]
22    | 5.4214e-04   | 1.4696e-07   | 1.12e+03  | -5.46e-01 | ACC [NEWTON]
23    | 1.3924e-04   | 9.6945e-09   | 1.68e+03  | -5.47e-01 | ACC [NEWTON]
24    | 2.6089e-05   | 3.4031e-10   | 2.53e+03  | -5.47e-01 | ACC [NEWTON]
25    | 3.4763e-06   | 6.0422e-12   | 3.79e+03  | -5.47e-01 | ACC [NEWTON]
26    | 3.2318e-07   | 5.2222e-14   | 5.68e+03  | -5.47e-01 | ACC [NEWTON]
27    | 2.0672e-08   | 2.1366e-16   | 8.52e+03  | -4.83e-01 | ACC [NEWTON]
28    | 9.0070e-10   | 4.0563e-19   | 8.52e+03  | N/A       | [CONVERGED]

Final Solver State: CONVERGED
